n,Ford-Fulkerson,Push-Relabel,Flot Min-Cout
10,7.829999999997561e-05,0.0001279,0.0002155999999999
10,6.059999999996624e-05,0.0002114,0.0002493
10,0.0001233999999999,0.0002141999999999,0.0005068999999999
10,0.0001501999999999,0.000728,0.0001785999999999
10,5.849999999996136e-05,0.0001301999999999,8.310000000000262e-05
10,7.220000000002225e-05,0.0001608,0.0002176999999999
10,5.410000000000137e-05,0.0010819999999999,6.690000000003637e-05
10,6.089999999997486e-05,0.0001377,0.0002116999999999
10,5.629999999995361e-05,0.0010528999999999,0.0001040999999999
10,8.740000000001524e-05,0.0001654999999999,0.0005609999999999
10,2.6000000000026e-05,3.950000000002563e-05,0.0001234999999999
10,8.980000000002875e-05,0.0010512999999999,0.0003689
10,0.0002153,0.0012884999999999,0.0002919
10,9.300000000000974e-05,0.0014495999999999,0.0005455999999999
10,0.0001125,0.0010827999999999,0.0004035
10,0.0001121,0.0007929999999999,0.0001874
10,0.0001406999999999,0.0009895999999999,0.0002744999999999
10,9.210000000003936e-05,0.0013205,0.0001614
10,0.0001199,0.0002024999999999,0.0004911999999999
10,7.850000000003687e-05,0.0001242999999999,0.0003634
10,0.0001132,0.0009544,0.0004457999999999
10,6.40000000000085e-05,0.0008267,0.0003742999999999
10,0.0002427999999999,0.0004456999999999,0.0007127999999999
10,0.0001493,0.0003756999999999,0.0003197
10,9.060000000005176e-05,0.0001701,0.0002525999999999
10,0.000168,0.0003152,0.000395
10,7.719999999999949e-05,0.0008321,0.0002583
10,8.610000000003337e-05,0.0008051999999999,0.0002067999999999
10,0.0001330999999999,0.0001711,0.0003654
10,0.0001190999999999,0.0009022999999999,0.0003147
10,5.5999999999945e-06,7.09999999998212e-06,3.79999999999825e-06
10,3.409999999998137e-05,0.0001088,0.0001565
10,0.0001305999999999,0.0008447999999999,0.0003245
10,7.649999999997936e-05,0.0015649999999999,0.0002053999999999
10,6.939999999999724e-05,0.0002001,0.0003056
10,0.0001607,0.000256,0.0008257999999999
10,8.629999999998361e-05,0.0009033999999999,0.000118
10,5.500000000002725e-05,0.0008711,6.220000000001225e-05
10,7.779999999996123e-05,0.0002819,0.0002947
10,0.0001416,0.0011179,0.0002107999999999
10,7.420000000002425e-05,0.0001480999999999,0.0001176999999999
10,5.699999999997374e-05,9.779999999998124e-05,0.0002224
10,7.930000000000437e-05,0.0014214,0.0002061
10,0.0001215999999999,0.0002987999999999,0.0004490999999999
10,0.0001241,0.0003259999999999,0.0002692
10,8.270000000004663e-05,0.0001117999999999,0.0005858
10,0.0001879999999999,0.0004583,0.0007551999999999
10,0.0001290999999999,0.0002024999999999,0.0002166
10,8.079999999999199e-05,0.0001641,0.0001328
10,9.209999999992836e-05,0.0002464999999999,0.0002964
10,7.799999999991147e-05,0.0008909999999999,0.0002012
10,6.68000000000335e-05,0.0001153,0.0002864999999999
10,0.0001213999999999,0.0008953999999999,0.0005306
10,9.639999999999647e-05,0.0001210999999999,0.0003126999999999
10,0.0001276,0.0009065999999999,0.0002720999999999
10,0.0001221,0.0007154,0.0004151
10,4.170000000003338e-05,0.0001294,0.0001643
10,0.0001212999999999,0.0004796,0.0002011
10,0.0001914999999999,0.0014904,0.00065
10,0.0001628999999999,0.0012628,0.0001404
10,8.130000000006188e-05,0.0010291,0.0003579
10,0.0001996,0.0010531999999999,0.0005683
10,6.899999999998574e-05,0.001395,0.0004094
10,0.0001799,0.0009384,0.0002719999999999
10,0.0001639999999999,0.0002961,0.0003824
10,9.609999999993236e-05,0.0009972,0.0005532
10,6.830000000002112e-05,0.0001337,0.0003081999999999
10,7.249999999991985e-05,0.001209,0.0002562999999999
10,8.839999999998849e-05,0.000975,0.0001756
10,4.779999999993123e-05,0.0001091999999999,0.0003370999999999
10,5.539999999992773e-05,0.000113,0.0001223999999999
10,0.0001442999999999,0.0002145,0.000377
10,9.870000000000712e-05,0.0001487999999999,0.0001207
10,6.419999999995873e-05,0.0001204,0.0002978
10,0.0001124999999999,0.0008462,0.0002147
10,0.0001571,0.0008801999999999,0.0005022
10,4.649999999994936e-05,0.0011392,8.669999999999511e-05
10,0.0001032999999999,0.0001489999999999,0.0002247999999999
10,0.0001058,0.0001775,0.0003414999999999
10,0.0001001999999999,0.0002507999999999,0.0004636
10,8.750000000001812e-05,0.0008688,0.0003490999999999
10,0.0001205,0.0002499999999999,0.0004611999999999
10,5.800000000000249e-05,0.0001263,0.0002552
10,0.0001364999999999,0.0002505,0.0005001
10,0.0001223999999999,0.0010265999999999,0.0004512999999999
10,0.0001584,0.0010788999999999,0.0003874999999999
10,8.180000000002075e-05,0.0010814,0.0003034
